time,realization,lat,lon,experimentVersionNumber,tp
2016-01-01 06:00:00,0,51.0,18.0,0001,0.0014190674
2016-02-01 06:00:00,0,51.0,18.0,0001,0.0033817291
2016-03-01 06:00:00,0,51.0,18.0,0001,0.0019550323
2016-04-01 06:00:00,0,51.0,18.0,0001,0.0015964508
2016-05-01 06:00:00,0,51.0,18.0,0001,0.0023040771
2016-06-01 06:00:00,0,51.0,18.0,0001,0.0021839142
2016-07-01 06:00:00,0,51.0,18.0,0001,0.0056266785
2016-08-01 06:00:00,0,51.0,18.0,0001,0.0012722015
2016-09-01 06:00:00,0,51.0,18.0,0001,0.0013904572
2016-10-01 06:00:00,0,51.0,18.0,0001,0.003534317
2016-11-01 06:00:00,0,51.0,18.0,0001,0.0017700195
2016-12-01 06:00:00,0,51.0,18.0,0001,0.0017318726
2017-01-01 06:00:00,0,51.0,18.0,0001,0.0009803772
2017-02-01 06:00:00,0,51.0,18.0,0001,0.001627922
2017-03-01 06:00:00,0,51.0,18.0,0001,0.0016431808
2017-04-01 06:00:00,0,51.0,18.0,0001,0.0030345917
2017-05-01 06:00:00,0,51.0,18.0,0001,0.0014896393
2017-06-01 06:00:00,0,51.0,18.0,0001,0.002735138
2017-07-01 06:00:00,0,51.0,18.0,0001,0.003063202
2017-08-01 06:00:00,0,51.0,18.0,0001,0.002122879
2017-09-01 06:00:00,0,51.0,18.0,0001,0.0041542053
2017-10-01 06:00:00,0,51.0,18.0,0001,0.0032234192
2017-11-01 06:00:00,0,51.0,18.0,0001,0.0021076202
2017-12-01 06:00:00,0,51.0,18.0,0001,0.0013942719
2018-01-01 06:00:00,0,51.0,18.0,0001,0.0013847351
2018-02-01 06:00:00,0,51.0,18.0,0001,0.00038051605
2018-03-01 06:00:00,0,51.0,18.0,0001,0.0011844635
2018-04-01 06:00:00,0,51.0,18.0,0001,0.00082969666
2018-05-01 06:00:00,0,51.0,18.0,0001,0.0019683838
2018-06-01 06:00:00,0,51.0,18.0,0001,0.0023117065
2018-07-01 06:00:00,0,51.0,18.0,0001,0.0030956268
2018-08-01 06:00:00,0,51.0,18.0,0001,0.001613617
2018-09-01 06:00:00,0,51.0,18.0,0001,0.0014762878
2018-10-01 06:00:00,0,51.0,18.0,0001,0.001742363
2018-11-01 06:00:00,0,51.0,18.0,0001,0.00048828125
2018-12-01 06:00:00,0,51.0,18.0,0001,0.002954483
2019-01-01 06:00:00,0,51.0,18.0,0001,0.0024871826
2019-02-01 06:00:00,0,51.0,18.0,0001,0.0014362335
2019-03-01 06:00:00,0,51.0,18.0,0001,0.0015163422
2019-04-01 06:00:00,0,51.0,18.0,0001,0.000995636
2019-05-01 06:00:00,0,51.0,18.0,0001,0.0030345917
2019-06-01 06:00:00,0,51.0,18.0,0001,0.0009365082
2019-07-01 06:00:00,0,51.0,18.0,0001,0.0016651154
